ID;ID_0;SURVEY.COD;DISPOSITIVO;FECHAENCUESTA;HORAENCUESTA;NOVALID;MOTIVO;PONDER.GLOBAL;PONDER.SEXO;PONDER.EDAD;GENERO;GENERO.OTRO;GENERO_BIN;ORIENTSEX;ORIENTSEX.OTRO;ORIENTSEX.OTRO.REC;ORIENTSEX.BN;EDAD;EDAD.GRUPO;PAÍS;PAIS.OTRO;PAIS.OTRO.REC;ETNIA.EURO;ETNIA.LATIN;ETNIA.ARAB;ETNIA.AFRIC;ETNIA.ASIA;ETNIA.GITA;ETNIA.INDIG;ETNIA.OTRO;ETNIA.OTRO.Esp;ETNIA.BN;CCAA;CURSO;CURSO.OTRO;CONVIVEN.1;CONVIVEN.2;CONVIVEN.PAD.BN;CONVIVEN.3;CONVIVEN.4;CONVIVEN.ParejasProgenitores;CONVIVEN.5;CONVIVEN.6;CONVIVEN.7;AUTOEFIC1;AUTOEFIC2;AUTOEFIC3;AUTOEFIC4;AUTOEFIC5;MORAL1;MORAL2;MORAL3;MORAL4;MORAL5;APOYO1;APOYO2;APOYO3;APOYO4;APOYO5;APOYO6;APOYO7;IMPULS1;IMPULS2;IMPULS3;IMPULS4;IMPULS5;IMPULS6;IMPULS7;IMPULS8;ABUSOSUBS1;ABUSOSUBS1.BN;ABUSOSUBS2;ABUSOSUBS2.BN;BINGEDRINKING;PORNO1;PORNO2;PORNO.T;PORNO.T.BN;FUGAS;FUGAS.BN;VC1;VC2;VC3;VC.SUM;VC.BN;VM1;VM1.QUIEN.1;VM1.QUIEN.2;VM1.QUIEN.3;VM1.QUIEN.4;VM1.QUIEN.5;VM1.QUIEN.OTRO;VM1.QUIEN.OTRO.REC;VM2;VM2.QUIEN.1;VM2.QUIEN.2;VM2.QUIEN.3;VM2.QUIEN.4;VM2.QUIEN.5;VM2.QUIEN.OTRO;VM2.QUIEN.OTRO.REC;VM3;VM3.QUIEN.1;VM3.QUIEN.2;VM3.QUIEN.3;VM3.QUIEN.4;VM3.QUIEN.5;VM3.QUIEN.OTRO;VM3.QUIEN.OTRO.REC;VM4;VM4.QUIEN.1;VM4.QUIEN.2;VM4.QUIEN.3;VM4.QUIEN.4;VM4.QUIEN.5;VM4.QUIEN.OTRO;VM4.QUIEN.OTRO.REC;VM.SUM;VM.BN;VP1;VP1.BULL;VP2;VP2.BULL;VP.SUM;VP.BN;VDV1;VDV2;VDV3;VDV.SUM;VDV.BN;VS1;VS1.QUIEN.1;VS1.QUIEN.2;VS1.QUIEN.3;VS1.QUIEN.4;VS1.QUIEN.5;VS1.QUIEN.6;VS1.QUIEN.7;VS1.QUIEN.OTRO;VS1.QUIEN.OTRO.REC;VS2;VS2.QUIEN.1;VS2.QUIEN.2;VS2.QUIEN.3;VS2.QUIEN.4;VS2.QUIEN.5;VS2.QUIEN.6;VS2.QUIEN.7;VS2.QUIEN.OTRO;VS2.QUIEN.OTRO.REC;VS3;VS4;VS5;VS5.QUIEN.1;VS5.QUIEN.2;VS5.QUIEN.3;VS5.QUIEN.4;VS5.QUIEN.OTRO;VS5.QUIEN.OTRO.REC;VS6;VS6.QUIEN.1;VS6.QUIEN.2;VS6.QUIEN.3;VS6.QUIEN.4;VS6.QUIEN.OTRO;VS6.QUIEN.OTRO.REC;VS7;VS8;VS.SUM;VS.BN;VEXP1;VEXP1.FREC;VEXP1.QUIEN.1;VEXP1.QUIEN.2;VEXP1.CONTACT.1;VEXP1.CONTACT.2;VEXP1.CONTACT.3;VEXP1.CONTACT.4;VEXP1.CONTACT.5;VEXP1.CONTACT.6;VEXP1.CONTACT.7;VEXP1.CONTACT.8;VEXP1.CONTACT.9;VEXP1.CONTACT.10;VEXP1.CONTACT.11;VEXP1.CONTACT.12;VEXP1.CONTACT.OTRA;VEXP1.CONTACT.OTRA.REC;VEXP2;VEXP2.FREC;VEXP2.QUIEN.1;VEXP2.QUIEN.2;VEXP2.CONTACT.1;VEXP2.CONTACT.2;VEXP2.CONTACT.3;VEXP2.CONTACT.4;VEXP2.CONTACT.5;VEXP2.CONTACT.6;VEXP2.CONTACT.7;VEXP2.CONTACT.8;VEXP2.CONTACT.9;VEXP2.CONTACT.10;VEXP2.CONTACT.11;VEXP2.CONTACT.12;VEXP2.CONTACT.OTRA;VEXP2.CONTACT.OTRA.REC;VEXP3;VEXP3.FREC;VEXP3.QUIEN.1;VEXP3.QUIEN.2;VEXP3.CONTACT.1;VEXP3.CONTACT.2;VEXP3.CONTACT.3;VEXP3.CONTACT.4;VEXP3.CONTACT.5;VEXP3.CONTACT.6;VEXP3.CONTACT.7;VEXP3.CONTACT.8;VEXP3.CONTACT.9;VEXP3.CONTACT.10;VEXP3.CONTACT.11;VEXP3.CONTACT.12;VEXP3.CONTACT.OTRA;VEXP3.CONTACT.OTRA.REC;VEXP.SUM;VEXP.BN;W1;W1.QUIEN.1;W1.QUIEN.2;W1.QUIEN.3;W1.QUIEN.4;W2;W2.QUIEN.1;W2.QUIEN.2;W2.QUIEN.3;W2.QUIEN.4;W3;W3.QUIEN.1;W3.QUIEN.2;W3.QUIEN.3;W3.QUIEN.4;W4;W4.QUIEN.1;W4.QUIEN.2;W4.QUIEN.3;W4.QUIEN.4;W.SUM;W.BN;VINT1;VINT2;VINT3;VINT4;VINT.SUM;VINT.BN;PC1;PC2;PC3;PC.SUM;PC.BN;PM1;PM2;PM.BN;PM.SUM;PP1;PP1.BULL;PP2;PP2.BULL;PP.SUM;PP.BN;PDV1;PDV2;PDV3;PDV.SUM;PDV.BN;PS1;PS2;PS3;PS4;PS5;PS.SUM;PS.BN;PEXP1;PEXP1.CONTACT.1;PEXP1.CONTACT.2;PEXP1.CONTACT.3;PEXP1.CONTACT.4;PEXP1.CONTACT.5;PEXP1.CONTACT.6;PEXP1.CONTACT.7;PEXP1.CONTACT.8;PEXP1.CONTACT.9;PEXP1.CONTACT.10;PEXP1.CONTACT.11;PEXP1.CONTACT.12;PEXP1.CONTACT.OTRA;PEXP1.CONTACT.OTRA.REC;PEXP2;PEXP3;PEXP.SUM;PEXP.BN;PINT1;PINT2;PINT3;PINT4;PINT.SUM;PINT.BN;AUTOEFIC.SUM;MORAL.SUM;APOYO.SUM;IMPULS2_REV;IMPULS3.REV;IMPULS7.REV;IMPULS8.REV;IMPULS.SUM;PORNO.SUM;V.SUM.TOTAL;P.SUM.TOTAL;VÍCTIMA;POLIVICTIMIZACION;PERPETRADOR;POLIPERPETRACION;V.O;NO.VICT_NO.PERP;SOLO.VICTIMA;SOLO.PERPETRADOR;VICTIMA_PERPETRADOR;VS.FÍSICA.SUM;VS.FÍSICA.BN;VS.ELECT.SUM;VS.ELECT.BN;VS.GLOBAL.SUM;VS.GLOBAL.BN;PS.FÍSICA.SUM;PS.ELECT.SUM;PS.GLOBAL.SUM;PS.FÍSICA.BN;PS.ELECT.BN;PS.GLOBAL.BN;VSF.ADULTOS.SUM;VSF.ADULTOS.BN;VSF.PARES.SUM;VSF.PARES.BN;VINT.Nosex;VDV.Nosex;VINT.NoSex_BN;VDV.NoSex_BN;VP_INT
19_F_2023051103381037_CIP_ANON_2023051115201;3662.0;1.0;1.0;2023-05-11;15:38:10;0.0;;0.86398211238;0.93448816569;0.91759023822;2.0;;1.0;1.0;;;1.0;15.0;1.0;1.0;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ESPAÑA;0.0;19.0;4.0;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;3.0;4.0;4.0;1.0;2.0;1.0;2.0;3.0;2.0;3.0;3.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;0.0;;;;;0.0;;;;;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;20.0;26.0;3.0;4.0;2.0;2.0;19.0;2.0;0.0;0.0;0.0;;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051103383159_CIP_ANON_2023051115225;3663.0;1.0;1.0;2023-05-11;15:38:31;0.0;;1.02930378125;0.94981194853;1.0931697408;1.0;;0.0;1.0;;;1.0;15.0;1.0;1.0;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;19.0;4.0;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;2.0;2.0;4.0;4.0;4.0;4.0;5.0;2.0;3.0;3.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;1.0;2.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;0.0;;;;;0.0;;;;;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;21.0;19.0;3.0;3.0;3.0;2.0;21.0;8.0;1.0;0.0;1.0;0.0;0.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051103405866_CIP_ANON_2023051115225;3664.0;1.0;1.0;2023-05-11;15:40:58;0.0;;0.99622024335;1.07751771072;0.93296970873;2.0;;1.0;2.0;;;2.0;16.0;2.0;1.0;;;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;19.0;4.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;2.0;2.0;3.0;5.0;4.0;5.0;5.0;5.0;2.0;4.0;3.0;4.0;2.0;4.0;3.0;1.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;4.0;1.0;4.0;1.0;1.0;1.0;4.0;4.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;0.0;;;;;0.0;;;;;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;24.0;22.0;2.0;3.0;2.0;2.0;17.0;5.0;0.0;0.0;0.0;;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051103434262_CIP_ANON_2023051115204;3665.0;1.0;1.0;2023-05-11;15:43:42;0.0;;0.99622024335;1.07751771072;0.93296970873;2.0;;1.0;1.0;;;1.0;16.0;2.0;1.0;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;19.0;4.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4.0;4.0;3.0;3.0;4.0;5.0;5.0;5.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;;0.0;;;;;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;24.0;28.0;4.0;4.0;4.0;2.0;20.0;2.0;2.0;0.0;1.0;0.0;0.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051103454090_CIP_ANON_2023051115214;3666.0;1.0;1.0;2023-05-11;15:45:40;0.0;;0.86398211238;0.93448816569;0.91759023822;2.0;;1.0;1.0;;;1.0;15.0;1.0;1.0;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;19.0;4.0;;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;2.0;3.0;3.0;4.0;4.0;3.0;5.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;3.0;2.0;1.0;1.0;0.0;0.0;2.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;1.0;1.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;0.0;;;;;;;;2.0;1.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;;0.0;;;;;2.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;20.0;22.0;3.0;4.0;3.0;2.0;19.0;4.0;7.0;1.0;1.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051103464656_CIP_ANON_2023051115272;3667.0;1.0;1.0;2023-05-11;15:46:46;0.0;;0.99622024335;1.07751771072;0.93296970873;2.0;;1.0;2.0;;;2.0;16.0;2.0;1.0;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;19.0;4.0;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;3.0;2.0;2.0;4.0;4.0;4.0;5.0;4.0;3.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;4.0;2.0;2.0;2.0;2.0;1.0;1.0;0.0;0.0;2.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;1.0;1.0;1.0;0.0;0.0;0.0;;;0.0;;;;;;;;0.0;;;;;;;;1.0;1.0;0.0;;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;1.0;1.0;1.0;0.0;0.0;0.0;;;;;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;1.0;3.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;21.0;19.0;3.0;2.0;3.0;3.0;21.0;3.0;7.0;1.0;1.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051103474801_CIP_ANON_2023051115203;3668.0;1.0;1.0;2023-05-11;15:47:48;0.0;;0.86398211238;0.93448816569;0.91759023822;2.0;;1.0;2.0;;;2.0;15.0;1.0;2.0;;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;19.0;4.0;;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;4.0;3.0;4.0;5.0;5.0;5.0;5.0;4.0;2.0;4.0;4.0;4.0;2.0;4.0;2.0;2.0;2.0;1.0;2.0;3.0;1.0;4.0;4.0;1.0;0.0;;;0.0;1.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;1.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;0.0;;;;;0.0;;;;;0.0;;;;;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;24.0;22.0;3.0;4.0;1.0;1.0;17.0;4.0;2.0;0.0;1.0;0.0;0.0;;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051103510086_CIP_ANON_2023051115203;3669.0;1.0;1.0;2023-05-11;15:51:00;0.0;;0.86398211238;0.93448816569;0.91759023822;2.0;;1.0;3.0;;;;15.0;1.0;1.0;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;19.0;4.0;;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;3.0;4.0;4.0;5.0;5.0;4.0;4.0;5.0;2.0;4.0;3.0;4.0;2.0;3.0;2.0;1.0;3.0;1.0;2.0;3.0;1.0;2.0;3.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;1.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;0.0;;;;;0.0;;;;;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;23.0;20.0;2.0;4.0;3.0;2.0;18.0;2.0;2.0;1.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051108524059_CIP_ANON_2023051108434;3670.0;1.0;2.0;2023-05-11;8:52:40;0.0;;0.99622024335;1.07751771072;0.93296970873;2.0;;1.0;2.0;;;2.0;16.0;2.0;1.0;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;15.0;3.0;;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;4.0;4.0;2.0;4.0;2.0;3.0;2.0;4.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;1.0;3.0;1.0;1.0;2.0;3.0;3.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;0.0;;;;;0.0;;;;;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;19.0;19.0;2.0;3.0;3.0;2.0;19.0;5.0;0.0;0.0;0.0;;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19_F_2023051108524627_CIP_ANON_2023051108433;3671.0;1.0;1.0;2023-05-11;8:52:46;0.0;;1.02930378125;0.94981194853;1.0931697408;1.0;;0.0;1.0;;;1.0;14.0;1.0;1.0;;;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;15.0;3.0;;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;3.0;4.0;3.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;4.0;3.0;4.0;3.0;4.0;4.0;2.0;3.0;3.0;1.0;3.0;1.0;3.0;3.0;1.0;0.0;;;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;0.0;;;;;0.0;;;;;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;24.0;26.0;2.0;2.0;2.0;2.0;15.0;2.0;0.0;0.0;0.0;;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
